April 2 - April 12 2018,Pre-registration for Summer courses.
Jan. 3 2019,First day of RISD Winter Session.
Jan. 10 2019,Last day to register for a Winter RISD course without a fee or change a grade option for a Winter RISD course (5:00 p.m. deadline).
Jan. 21 2019,Martin Luther King Jr. holiday.  No University exercises.
Jan. 22 2019,Registration of new students for the second semester (4:00 pm to midnight).
Jan. 23 2019,Classes of the second semester begin.  Web registration begins at 8:00 am.  Theses of candidates for Masters and Ph.D. degrees in May (on Semester I registration fee) are due.
Feb. 5 2019,Last day to add a course without a fee. (5:00 p.m. deadline) The web will be taken down for approximately one hour.  Once relaunched all course adds require Instructor override and will be charged late fee of $15 per course.
Feb. 6 2019,Last day of Winter RISD classes.
Feb. 14 2019,First day of RISD Spring Session.
Feb. 16 - 19 2019,Long weekend.  No University exercises.
Feb. 20 2019,Classes resume.  Last day to add a course (includes late fee) change from audit to credit, or change a grade option declaration (5:00 p.m. deadline).
Feb. 21 2019,Last day to register for a Spring RISD course without a fee or change a grade option for a Spring RISD course (5:00 p.m. deadline).
March 8 2019,Mid-semester deadline.  Last day to change from credit to audit in a course (5:00 p.m. deadline).
Mar. 23 - Mar. 31 2019,Spring Recess.
April 1 2019,Deadline for students currently on leave to apply for readmission for Semester I.   Date by which sophomores entering their 5th semester must file their concentration declaration forms via ASK to avoid having a No Concentration hold placed against their Banner registration.  (5:00 pm deadline).
April 1 2019,Classes resume.
Apr. 1 - Apr. 12 2019,Advising period for fall pre-registration.  Students in their first through third semesters will need to procure their advising PIN from their advisor in order to register.
April 5 2019,Deadline for submission of proposals for undergraduate group study projects (GISPs) for Semester I.
Apr. 9 - May 7 2019,Students on academic probation who wish to drop a course must meet with an academic dean for advising and to obtain drop-code. (5:00 pm deadline).
April 11 2019,Date by which advisors must approve sophomore submitted concentrations in ASK to avoid having a No Concentration hold placed against the student's Banner registration.  (5:00 pm deadline).
April 16 - 23 2019,Registration for Semester I 2019-20.   (Note: No student will be permitted to register for his or her fifth semester unless an approved declaration of concentration has been filed.)
April 23 2019,End of the pre-registration period.  
April 26 - May 7 2019,Reading Period (optional and at the discretion of the instructor).
May 1 2019,Deadline for undergraduates to declare a leave for Semester I.  Theses of candidates for Masters and Ph.D. degrees in May due.
May 7 2019,Classes end for courses not observing the Reading Period. Last day to drop a course (5:00 p.m. deadline) or to request an incomplete from an instructor.   Last day for advisors to approve second or third concentrations in ASK for students in their penultimate semester(for most students this is 7th semester) who are declaring a second/third concentration(5:00 p.m. deadline). *Any declarations not advisor approved and recorded in Banner by the Office of the Registrar by the 5:00 p.m. deadline will not be honored.  Last day to initiate a Course Performance Report via ASK.
May 8 - 17 2019,Final Examination Period.  (No exams on Sunday May 12).
May 15 2019,Last day of Spring RISD classes.
May 26 2019,Commencement.
Dec. 13 - 21 2018,Final Examination Period.
