Year,Percent Female,Percent Male
2001,0.3333333333333333,0.6666666666666666
2002,0.2,0.8
2003,0.3333333333333333,0.6666666666666666
2004,0.3333333333333333,0.6666666666666666
2005,0.3333333333333333,0.6666666666666666
2006,0.5,0.5
2007,0.7142857142857143,0.2857142857142857
2008,0.2857142857142857,0.7142857142857143
2009,0.3333333333333333,0.6666666666666666
2010,0.2857142857142857,0.7142857142857143
2011,0.42857142857142855,0.5714285714285714
2012,0.2857142857142857,0.7142857142857143
2013,0.375,0.625
2014,0.42857142857142855,0.5714285714285714
2015,0.5714285714285714,0.42857142857142855
2016,0.5,0.5
2017,0.5714285714285714,0.42857142857142855
