Name,Year,Gender Guesser,Genderizer,Confirmed
Alexander Dallas Bache,1837,male,male,male
Henry Michael Mason,1838,male,male,male
John Banister Gibson,1838,male,male,male
Benjamin Dorr,1838,male,male,male
William Radcliffe Dewitt,1838,male,male,male
Christian Frederic CrusÊ,1838,male,unknown,male
George Washington Bethune,1838,male,unknown,male
Jacob Miller,1839,male,male,male
George Boyd,1839,male,unknown,male
Thomas Hartwell Horne,1840,male,male,male
George Duffield,1840,male,unknown,male
Jehu Curtis Clay,1840,unknown,male,male
John David Ogilby,1843,male,male,male
Joseph Saxton,1844,male,male,male
Henry Jackson Morton,1844,male,male,male
John Chapman Cresson,1844,male,male,male
Martin Hans BoyÉ,1844,male,male,male
John Penington,1845,male,male,male
James Patriot Wilson,1848,male,male,male
William Bacon Stevens,1848,male,male,male
John Mcclintock Jr.,1848,male,male,male
William Mercer Green,1848,male,male,male
Daniel Kirkwood,1852,male,male,male
William Henry Odenheimer,1856,male,male,male
Edwin Augustine Dalrymple,1857,male,male,male
Divie Bethune McCartee,1858,unknown,unknown,male
Abram Newkirk Littlejohn,1858,male,male,male
James Lloyd Breck,1860,male,male,male
Theophilus Adam Wylie,1861,male,male,male
Abraham Rynier Van Nest Jr.,1861,male,male,male
John Wylie Faires,1861,male,male,male
Henry Eglinton Montgomery,1863,male,male,male
Gottlob Frederick Krotel,1865,male,male,male
Edwards Hedges,1865,unknown,unknown,male
Samuel Cox Jr.,1865,male,male,male
Richard Mason Abercrombie,1865,male,male,male
Jacob Isidor Mombert,1866,male,male,male
Henry Coppée,1866,male,male,male
Samuel Wylie Crawford Jr.,1867,male,male,male
Thomas Coffin Yarnall,1868,male,male,male
John Wanner Loch,1868,male,male,male
Henry Charles Lea,1868,male,male,male
John Innes Clark Hare,1868,male,male,male
Daniel Raynes Goodwin,1868,male,male,male
James Wilkinson Dale,1868,male,male,male
Frederick Williamson Beasley,1868,male,male,male
George Allen,1868,male,unknown,male
Benjamin Wistar Morris,1869,male,male,male
John Nesbit Conyngham,1869,male,male,male
Charles Augustus Young,1870,male,male,male
Beale Melancthon Schmucker,1870,unknown,unknown,male
James Ryley Ludlow,1870,male,male,male
John Cadwalader,1912,male,male,male
Frederick Carroll Brewster,1870,male,male,male
Joseph Allison,1870,male,male,male
Edward Abram Foggo,1871,male,male,male
Thomas Frederick Davies,1871,male,male,male
Lucius Barrows,1871,male,male,male
Theodore Appel,1871,male,male,male
Joseph Thomas,1872,male,male,male
William Phillips Lewis,1872,male,male,male
Henry Erskine Duncan,1872,male,male,male
William Kimbrough Pendleton,1873,male,male,male
George Emlen Hare,1873,male,unknown,male
Thomas Augustus Jagger,1874,male,male,male
John William Wallace,1875,male,male,male
Philip Friedrich Adolph Theodor Spaeth,1875,male,male,male
Thomas Webb Richards,1875,male,male,male
Claudius Henry Mastin,1875,male,male,male
John Agnew Crawford,1875,male,male,male
Mark Antony de Wolfe Howe,1876,male,male,male
Samuel Stehman Haldeman,1876,male,male,male
Joseph Miller Wilson,1877,male,male,male
Hermann Joseph Schwarzmann,1877,male,male,male
Morton Mcmichael,1877,male,male,male
Charles George Currie,1877,male,male,male
John Welsh,1878,male,male,male
Charles William Schaeffer,1879,male,male,male
Horace Howard Furness,1879,male,male,male
Redmond Barry,1879,male,male,male
Robert Alexander Lamberton,1880,male,male,male
Frederick Fraley,1880,male,male,male
Henry Martyn Hoyt,1881,male,male,male
James Abram Garfield,1881,male,male,male
William Henry Rawle,1882,male,male,male
Eli Kirk Price,1882,female,unknown,male
George Washington Biddle,1882,male,unknown,male
William Wackernagel,1883,male,male,male
Isaac Sharpless,1883,male,male,male
George Leib Harrison,1883,male,unknown,male
Phineas Pemberton Morris,1884,unknown,male,male
Justin Smith Morrill,1884,male,male,male
Samuel David Gross,1884,male,male,male
Henry Hartshorne,1884,male,male,male
Charles François Bonaventure Miel,1885,male,male,male
Theodore Lorenzo Seip,1886,male,male,male
Patrick John Ryan,1886,male,male,male
Samuel Powel Jr.,1886,male,male,male
Joseph Dodgson Newlin,1886,male,male,male
William Henry Klapp,1886,male,male,male
John Andrews Harris,1886,male,male,male
Joseph Parsons Comegys,1886,male,male,male
Hugh Archibald Clarke,1886,male,male,male
Robert Ellis Thompson,1887,male,male,male
John Adam Ryder,1887,male,male,male
Sabato Morais,1887,male,male,male
Samuel D. Mcconnell,1887,male,male,male
Ferdinand Vandevere Hayden,1887,male,male,male
Edward Totterson Bartlett,1887,male,male,male
George Pomeroy Allen,1887,male,unknown,male
John Kemper Murphy,1888,male,male,male
Ezra Otis Kendall,1888,male,male,male
George Stuart Chambers,1888,male,unknown,male
David Hayes Agnew,1888,male,male,male
Alfred StillÊ,1889,male,male,male
John Foster Kirk,1889,male,male,male
Cyrus David Foss,1889,male,male,male
George Davidson,1889,male,unknown,male
George Dana Boardman,1889,male,unknown,male
David Burt Wilson,1890,male,male,male
William Wilberforce Newton,1890,male,male,male
Seth Low,1890,male,male,male
Talcott Williams,1895,unknown,unknown,male
Robert Hamill Nassau,1891,male,male,male
Richard Green Moulton,1891,male,male,male
Richard Coxe Mcmurtrie,1892,male,male,male
William Wallace Gilchrist,1892,male,male,male
Jacob Mandes Dacosta,1892,male,male,male
Isaac Jones Wistar,1893,male,male,male
Hamilton Andrews Hill,1893,male,male,male
Daniel Garrison Brinton,1893,male,male,male
François Amédée Brégy Jr.,1893,unknown,male,male
William Henry Welch,1894,male,male,male
Sara Yorke Stevenson,1894,female,female,female
Frederic Ward Putnam,1894,male,male,male
George Tybout Purves,1894,male,unknown,male
William Pepper,1932,male,male,male
Robert Emory Pattison,1894,male,male,male
Charles Beylard Nancrede,1894,male,male,male
John Bach Mcmaster,1894,male,male,male
William Alexander Lamberton,1894,male,male,male
Alexander Harrison,1894,male,male,male
William Torrey Harris,1894,male,male,male
Casper René Gregory,1894,male,male,male
John Fiske,1894,male,male,male
Hamdy Bey,1894,male,unknown,male
Talcott Williams,1895,unknown,unknown,male
Joseph Brevitt Townsend,1895,male,male,male
Frederick Dawson Stone,1895,male,male,male
John Punnett Peters,1895,male,male,male
Merrill W. Hollingsworth,1895,male,male,male
Herman Volrath Hilprecht,1895,male,male,male
John Henry Haynes,1895,male,male,male
William Ely,1895,male,male,male
Martin Russell Thayer,1896,male,male,male
Charles Janeway StillÊ,1896,male,male,male
Henry Wilson Spangler,1906,male,male,male
J. Peter Lesley,1896,unknown,unknown,male
Robert Graham,1896,male,male,male
Louis Fitzgerald Benson,1896,male,male,male
Henry Morton,1897,male,male,male
Wayne Macveagh,1897,male,male,male
Benjamin West Frazier,1897,male,male,male
Ozi William Whitaker,1898,unknown,unknown,male
William Neilson Mcvickar,1898,male,male,male
Agnes Irwin,1898,female,female,female
George Frederick Barker,1898,male,unknown,male
Elwood Worcester,1899,male,male,male
Edgar Fahs Smith,1920,male,male,male
Coleman Sellers,1899,male,male,male
John Bayard Mcpherson,1899,male,male,male
Louis Childs Madeira Jr.,1926,male,male,male
Lucien Lee Kinsolving,1914,male,male,male
Alfred Craven Harrison Jr.,1899,male,male,male
William Bowen Boulton,1899,male,male,male
Ting-fang Wu,1900,unknown,unknown,male
Floyd William Tomkins,1900,male,male,male
Oscar Solomon Straus,1900,male,male,male
Charles Arthur Roe,1900,male,male,male
Marcus Jastrow,1900,male,male,male
John Marshall Harlan,1963,male,male,male
Gerard Brown Finch,1900,male,male,male
Porfirio Diaz,1900,male,male,male
James Barr Ames,1900,male,male,male
George Woodward Wickersham,1935,male,unknown,male
Henry Smith Pritchett,1901,male,male,male
William L. Prather,1901,male,male,male
Henry Codman Potter,1901,male,male,male
Clement Biddle Penrose,1901,male,male,male
Thomas Harrison Montgomery,1901,male,male,male
James David Moffat,1901,male,male,male
George Wallace Melville,1901,male,unknown,male
John Sparhawk Jones,1901,male,male,male
John Hill Brinton,1901,male,male,male
Charles Henry Alden,1901,male,male,male
Joseph Wharton,1902,male,male,male
William Howard Taft,1902,male,male,male
Agnes Repplier,1902,female,female,female
Willoughby Dayton Miller,1902,unknown,male,male
Edward Alexander Macdowell,1902,male,male,male
Richard Mott Jones,1902,male,male,male
David Jayne Hill,1902,male,male,male
Hugh Thomas Henry,1902,male,male,male
Oliver Wolcott Gibbs,1902,male,male,male
William Croswell Doane,1902,male,male,male
Charles Henry Cramp,1902,male,male,male
Heinrich Conreid,1902,male,male,male
Nicholas Murray Butler,1902,male,male,male
Edwin Austin Abbey,1902,male,male,male
Leonard Wood,1903,male,male,male
Woodrow Wilson,1903,male,male,male
John Grimes Walker,1903,male,male,male
Charles Doolittle Walcott,1903,male,male,male
Francis Preston Venable,1903,male,unknown,male
Felix Emmanuel Schelling,1909,male,male,male
John Singer Sargent,1903,male,male,male
William Peterson,1903,male,male,male
Alexander Crombie Humphreys,1903,male,male,male
William Mansfield Groton,1903,male,male,male
William Crawford Gorgas,1903,male,male,male
Jesse Young Burk,1903,male,unknown,male
Horatio Curtis Wood,1904,male,male,male
Hermann Von Speck-Sternburg,1904,male,male,male
James Truman,1904,male,male,male
Sir Frederick Bart. Treves,1904,unknown,unknown,male
James Whitcomb Riley,1904,male,male,male
Samuel Whitaker Pennypacker,1904,male,male,male
Richard Henry Nelson,1904,male,male,male
James Tyndale Mitchell,1904,male,male,male
Jean Adrien Antoine Jules Jusserand,1904,male,unknown,male
George Dock,1904,male,unknown,unknown
William Healey Dall,1904,male,male,male
Russell Henry Chittenden,1904,male,male,male
Henry Pickering Bowditch,1904,male,male,male
Robert Simpson Woodward,1905,male,male,male
His Imperial Majesty Friedrich German Emperor and King of Prussia Wilhelm Ii (stricken),1905,male,male,male
David Thompson Watson,1905,male,male,male
Theodore Roosevelt,1905,male,male,male
Philander Chase Knox,1905,unknown,male,male
Henry Mortimer Durand,1905,male,male,male
Charles Edgar Clark,1905,male,male,male
George Washburn,1906,male,unknown,male
His Majesty King of Italy Vittorio Emanuelle Iii,1906,male,male,male
Henri Vetillart,1906,male,male,male
Samuel Matthews Vauclain,1906,male,male,male
Henry Van Dyke,1906,male,male,male
Frederick Winslow Taylor,1906,male,male,male
Kanhiro Takaki,1906,unknown,unknown,male
Frederic Pike Stearns,1906,male,male,male
Henry Wilson Spangler,1906,male,male,male
Edgar Fahs Smith,1920,male,male,male
Samuel Sheldon,1906,male,male,male
William Berryman Scott,1906,male,male,male
Ernest Rutherford,1906,male,male,male
William Clarence Richardson,1906,male,male,male
Charles Whiteside Rae,1906,male,male,male
Edward Charles Pickering,1906,male,male,male
William Paterson Paterson,1906,male,male,male
Edward Leamington Nichols,1906,male,male,male
Albert Abraham Michelson,1906,male,male,male
Mansfield Merriman,1906,unknown,male,male
John Vaughan Merrick,1906,male,male,male
Guglielmo Marconi,1906,male,male,male
Edgar Marburg,1906,male,male,male
John William Mallet,1906,male,male,male
Alexander Mackenzie,1906,male,male,male
Hendrik Antoon Lorentz,1906,male,male,male
Edwin Ames Jaggard,1906,male,male,male
Joseph Jacobs,1906,male,male,male
Ramon Ibarrola,1906,male,male,male
William Peddle Henszey,1906,male,male,male
James Addison Henry,1906,male,male,male
Lloyd Carpenter Griscom,1906,male,male,male
James Gayley,1906,male,male,male
John Fritz,1906,male,male,male
His Majesty King of England Edward Vii,1906,male,male,male
Samuel Dickson,1906,male,male,male
Hugo Devries,1906,male,male,male
George Howard Darwin,1906,male,unknown,male
Hampton Lawrence Carson,1906,unknown,male,male
Andrew Carnegie,1906,male,male,male
William Keith Brooks,1906,male,male,male
Alois Brandl,1906,male,male,male
William Phipps Blake,1906,male,male,male
Owen Wister,1907,male,male,male
Horace Lemuel Wells,1907,male,male,male
Thomas Watson Sidwell,1907,male,male,male
Joseph George Rosengarten,1907,male,male,male
George Wharton Pepper,1907,male,unknown,male
Leonard Pearson,1907,male,male,male
Hideyo Noguchi,1907,mostly_male,unknown,male
Howard Atwood Kelly,1907,male,male,male
John Arthur Johnson,1907,male,male,male
Oliver Huckel,1907,male,male,male
Rudolph Hering,1907,male,male,male
John Watson Foster,1907,male,male,male
Albert Joseph Edmunds,1907,male,male,male
Arthur Erwin Brown,1907,male,male,male
Craig Biddle,1907,male,male,male
Thomas Bailey Aldrich,1907,male,male,male
Edwin Sydney Stuart,1908,male,male,male
Charles Edmund Rice,1908,male,male,male
James Alan Montgomery,1908,male,male,male
Lloyd Mifflin,1908,male,male,male
Grove Karl Gilbert,1908,unknown,male,male
Edwin Grant Conklin,1943,male,male,male
Joseph Hodges Choate,1908,male,male,male
Henry Cadwalader Chapman,1908,male,male,male
Cecelia Beaux,1908,female,female,female
John Thomson,1909,male,male,male
Felix Emmanuel Schelling,1909,male,male,male
Charles Bingham Penrose,1909,male,male,male
Charles Follen Mckim,1909,male,male,male
Samuel McCune Lindsay,1909,male,male,male
Edward Miller Jefferys,1909,male,male,male
Samuel Gibson Dixon,1909,male,male,male
John Lambert Cadwalader,1909,male,male,male
George Smedley Webster,1910,male,unknown,male
Ethelbert Dudley Warfield,1910,unknown,male,male
Samuel Rea,1910,male,male,male
Charles Evans Hughes,1910,male,male,male
Morris Lewis Clothier,1910,male,male,male
James Montgomery Beck,1910,male,male,male
Johann Heinrich Von Bernstorff (stricken),1911,male,male,male
William Lawrence Saunders,1911,male,male,male
James DeWolf Perry Jr.,1931,male,male,male
Veranus Alva Moore,1911,unknown,unknown,male
Thomas Riley Marshall,1911,male,male,male
Warren Powers Laird,1932,male,male,male
Charles Custis Harrison,1911,male,male,male
Basil Lanneau Gildersleeve,1911,male,male,male
Henry Sturgis Drinker,1911,male,male,male
Walton Clark,1911,male,male,male
Edward Potts Cheyney,1911,male,male,male
James Tyson,1912,male,male,male
Joseph Swain,1912,male,male,male
Edward Robins,1912,male,male,male
Philip Mercer Rhinelander,1912,male,male,male
William James Mayo,1912,male,male,male
Horace Harmon Lurton,1912,male,male,male
George Woolsey Hodge,1912,male,unknown,male
John Grier Hibben,1912,male,male,male
Carl Hering,1912,male,male,male
Louis Adolphus Duhring,1912,male,male,male
John Cadwalader,1912,male,male,male
Edwin Anderson Alderman,1912,male,male,male
Alexander Crever Abbott,1912,male,male,male
Edward Livingston Trudeau,1913,male,male,male
Witmer Stone,1913,unknown,unknown,male
Edward Tyson Reichert,1913,male,male,male
Henry Phipps,1913,male,male,male
George Morris Philips,1913,male,unknown,male
Henry Spackman Pancoast,1913,male,male,male
Emory Richard Johnson,1913,male,male,male
Phillips Lee Goldsborough,1913,unknown,unknown,male
George Washington Goethals,1913,male,unknown,male
Henry Pomeroy Davison,1913,male,male,male
Edward Vincent D'Invilliers,1913,male,male,male
Paul Philippe Cret,1913,male,male,male
Henry Harbaugh Apple,1913,male,male,male
Nathan Christ Schaeffer,1914,male,male,male
Hugo Albert Rennert,1914,male,male,male
Lucien Lee Kinsolving,1914,male,male,male
Morris Jastrow Jr.,1914,male,male,male
John Augustus William Haas,1914,male,male,male
Sydney George Fisher,1914,mostly_male,unknown,male
George Edmund Deschweinitz,1914,male,unknown,male
John Torrey Windrim,1915,male,male,male
John Wanamaker,1915,male,male,male
Arthur Newell Talbot,1915,male,male,male
Eugene Solomon Talbot,1915,male,male,male
William Simon,1915,male,male,male
John Howard Mummery,1915,male,male,male
Robert Andrews Millikan,1915,male,male,male
William Ephraim Mikell,1929,male,male,male
Edward Cameron Kirk,1915,male,male,male
Harry Frederick Keller,1915,male,male,male
John Graver Johnson,1915,male,male,male
Josiah Settle Graves,1915,male,male,male
Edouard Charles Godon,1915,male,male,male
William Dieck,1915,male,male,male
Edwin Tyler Darby,1915,male,male,male
Truman William Brophy,1915,male,male,male
Green Vardiman Black,1915,unknown,male,male
Edward Hartley Angle,1915,male,male,male
Daniel Lincoln Wallace,1916,male,male,male
Bliss Perry,1916,unknown,male,unknown
Charles Karsner Mills,1916,male,male,male
Samuel Black Mccormick,1916,male,male,male
Margaret Center Klingelsmith,1916,female,female,female
Herbert Sherman Houston,1916,male,male,male
Horace Howard Furness Jr.,1916,male,male,male
Jacob Hay Brown,1916,male,male,male
Henry Galbraith Ward,1917,male,male,male
René Viviani,1917,unknown,unknown,male
Charles Franklin Thwing,1917,male,male,male
Leopold Stokowski,1917,male,male,male
Jacob Gould Schurman,1917,male,male,male
Frederic Courtland Penfield,1917,male,male,male
William Kelly Jr.,1917,male,male,male
Joseph Jacques Césaire Joffre,1917,male,male,male
Herbert Clark Hoover,1940,male,male,male
Zane Grey,1917,female,male,unknown
Arthur Maurice Greene Jr.,1917,male,male,male
William Wistar Comfort,1917,male,male,male
Robert Judson Aley,1917,male,male,male
James Hosmer Penniman,1918,male,male,male
Henry Page,1918,male,male,male
Robert Alexander Falconer,1918,male,male,male
Frank Miles Day,1918,male,male,male
John Frederick Wolle,1919,male,male,male
William Cameron Sproul,1919,male,male,male
Charles Lee Reese,1919,male,male,male
Frederick Peterson,1919,male,male,male
Richard Montgomery,1919,male,male,male
Harlan Sherman Miner,1919,male,male,male
Jonathan Willis Martin,1919,male,male,male
Edward Martin,1943,male,male,male
John Clark Knox,1919,male,male,male
Charles Penrose Keith,1919,male,male,male
William Williams Keen,1919,male,male,male
Arthur Hopewell-Smith,1919,male,male,male
William Wallace Atterbury,1919,male,male,male
Louis Cape Washburn,1920,male,male,male
Henry Davis Todd Jr.,1920,male,male,male
Francis Marion Taitt,1920,male,unknown,male
Edgar Fahs Smith,1920,male,male,male
William Sowden Sims,1920,male,male,male
Theodore William Richards,1920,male,male,male
George Boal Orlady,1920,male,unknown,male
Alfred Edward Newton,1935,male,male,male
Leslie William Miller,1920,mostly_female,unknown,male
John Muirhead Macfarlane,1920,male,male,male
Robert Johnston,1920,male,male,male
Herbert Adams Gibbons,1920,male,male,male
William Henry Fox,1920,male,male,male
Edward J. Fox,1920,male,male,male
Thomas Edward Finegan,1920,male,male,male
Albert Jeremiah Beveridge,1920,male,male,male
Charles Howard Walker,1921,male,male,male
Paul Shorey,1921,male,male,male
William Romaine Newbold,1921,male,male,male
James Hartley Merrick,1921,male,male,male
William Rutherford Mead,1921,male,male,male
Ernest Martin Hopkins,1921,male,male,male
Hobart Amory Hare,1921,male,male,male
Ferdinand Foch,1921,male,male,male
Herbert Edward Everett,1921,male,male,male
George Walter Dawson,1921,male,unknown,male
Marie Curie,1921,female,unknown,female
Theophilous Parsons Chandler,1921,unknown,unknown,male
Robert Von Moschzisker,1922,male,male,male
Edward Townsend Stotesbury,1922,male,male,male
George Arthur Piersol,1922,male,unknown,male
John Joseph Pershing,1922,male,male,male
Josiah Harmar Penniman,1939,male,male,male
William Duane,1922,male,male,male
Arthur William Currie,1922,male,male,male
Sir Henry Worth Thornton,1923,unknown,unknown,male
Joseph John Thomson,1923,male,male,male
Andrew Jackson Montague,1923,male,male,male
Kenneth Gordon Matheson,1923,male,male,male
Chevalier Jackson,1923,unknown,unknown,male
Richard Mott Gummere,1923,male,male,male
John Drew,1923,male,male,male
Pieter Zeeman,1924,male,male,male
Stanley Rhoads Yarnall,1924,male,male,male
Anne Hollingsworth Wharton,1924,female,unknown,female
Edward Weston,1924,male,male,male
Elihu Thomson,1924,male,male,male
Ambrose Swasey,1924,male,male,male
Edward Rhodes Stitt,1924,male,male,male
Frank Julian Sprague,1924,male,male,male
Edwin Wilbur Rice Jr.,1924,male,male,male
James Taggart Priestley,1924,male,male,male
Harold Pender,1924,male,male,male
Charles Algernon Parsons,1924,male,male,male
John Bassett Moore,1924,male,male,male
Richard Beatty Mellon,1924,male,male,male
John Henry Maccracken,1924,male,male,male
Charles Merrill Hough,1924,male,male,male
Walter E. Hering,1924,male,male,male
Clarence Stanley Fisher,1924,male,male,male
Robert Heywood Fernald,1924,male,male,male
Charles Fabry,1924,male,male,male
William Charles Lawson Eglin,1924,male,male,male
Cyrus Hermann Kotzschmar Curtis,1924,male,male,male
John Joseph Carty,1924,male,male,male
William Henry Bragg,1924,male,male,male
Frank Aydelotte,1924,male,male,male
Hubert Work,1925,male,male,male
Ray Lyman Wilbur,1925,mostly_male,unknown,male
John Carew Rolfe,1925,male,male,male
Robert William Rogers,1925,male,male,male
Alfred Newton Richards,1932,male,male,male
John Robbins Mohler,1925,male,male,male
Charles Horace Mayo,1925,male,male,male
Harry Alexander Matthews,1925,male,male,male
Rudolph Matas,1925,male,male,male
John Frederick Lewis,1925,male,male,male
Greville Haslam,1925,unknown,unknown,male
Thomas James Garland,1925,male,male,male
Charles Harrison Frazier,1925,male,male,male
Livingston Farrand,1925,unknown,unknown,male
Boyd Edwards,1925,male,male,male
Bertrand Dawson,1925,male,male,male
John Ashhurst,1925,male,male,male
Herman Vandenburg Ames,1925,male,male,male
Paul Sabatier,1926,male,male,male
Hermann Prinz,1926,male,male,male
Walter Robert Parker,1926,male,male,male
Robert Norwood,1926,male,male,male
Harris Peyton Mosher,1926,male,male,male
Dwight Whitney Morrow,1926,male,male,male
Louis Childs Madeira Jr.,1926,male,male,male
William Draper Lewis,1926,male,male,male
Leon Legrain,1926,male,male,male
Frank Billings Kellogg,1926,male,male,male
Ernst Jessen,1926,male,male,male
Edward Jackson,1926,male,male,male
James Colquhoun Irvine,1926,male,male,male
William Guy,1926,male,male,male
George Byron Gordon,1926,male,unknown,male
William Henry Gilmour,1926,male,male,male
Wilson Eyre,1926,male,male,male
Walter Johannes Damrosch,1926,male,male,male
Prince Ginori Conti,1926,male,male,male
Ernst Cohen,1926,male,male,male
Olin Howard Burritt,1926,male,male,male
Alonzo Brown,1926,male,male,male
George Archibald Brakeley,1926,male,unknown,male
Robert Anderson,1926,male,male,male
Florestan Aguilar,1926,male,male,male
Edwin Mood Wilson,1927,male,male,male
Arthur Webster Thompson,1927,male,male,male
Charles Michael Schwab,1927,male,male,male
George David Rosengarten,1927,male,unknown,male
Abraham Simon Wolf Rosenbach,1927,male,male,male
Charles Williamson Richardson,1927,male,male,male
Charles Adams Platt,1927,male,male,male
Samuel Edmond Osbourn,1927,male,male,male
Milton Bennett Medary Jr.,1927,male,male,male
Josiah Calvin Mccracken,1927,male,male,male
John Hays Hammond,1927,male,male,male
John Ripley Freeman,1927,male,male,male
John Huston Finley,1927,male,male,male
Miles Farrow,1927,male,male,male
