Bottom Right,"If You Love Ice Cream but Fruit is Your Jam, Head Over to the Chilly Banana",Who said healthy has to be boring?,Arielle Stanger,https://www.34st.com/article/2021/09/the-chilly-banana-whip-nice-cream-totally-fruit-based-treats-healthy-whimsical-vibrant-food-truck-store-front-smoothies-bananas,https://snworksceo.imgix.net/dpn-34s/1bd0cca2-be56-47ca-896a-ad085d405840.sized-1000x1000.jpg?
,,,,,
--- BREAKING BREAD ---,,,,,
Placement:,Title:,Subhead:,Author:,Published Link:,Image:
Top Left,Ego of the Week: Alaina Chou,Food photographer. Blogger. Podcaster. She puts all other campus foodies to shame. ,Chelsey Zhu,https://www.34st.com/article/2021/09/alaina-chou-food-pennappetit-gourmand-crumbs-and-nibbles,https://snworksceo.imgix.net/dpn-34s/f9ae9197-8385-4091-86ef-311c1702f41f.sized-1000x1000.jpeg?
Top Right,nikil saval,State Senator Nikil Saval’s Electoral District: In Food and Photos,Beatrice Forman,https://www.34st.com/article/2021/09/nikil-saval-state-senator-south-philly-food-tour-kalaya-levirtu-tamalex,https://snworksceo.imgix.net/dpn-34s/562d2329-5821-46d3-a625-2580c1b97e50.sized-1000x1000.jpg?
Bottom Left ,Alex Tewfik Talks the Future of Philly’s Food Scene,The 'Philadelphia' magazine Food Editor breaks down how the COVID–19 pandemic changed the restaurant industry—and what we can expect from its comeback.,Hannah Lonser,https://www.34st.com/article/2021/09/alex-tewfik-philadelphia-magazine-food-and-drink-future-of-the-restaurant-industry,https://snworksceo.imgix.net/dpn-34s/5c66f9a3-7376-4313-8a49-53502f01c0bd.sized-1000x1000.png?
Bottom Right,"Carolyn Gross, from Mise-En-Scène to Mise-En-Place",How one Penn alum’s experience as a Cinema Studies major led her to the “Food Network”  ,Jessa Glassman,https://www.34st.com/article/2021/09/carolyn-gross-alum-profile-dining-guide-food-network-food-entertainment-cinema-studies,https://snworksceo.imgix.net/dpn-34s/12925e4f-d806-4226-a21e-48e68fe4ea8d.sized-1000x1000.jpg?
,,,,,
--- SKIMMING THE MENU ---,,,,,
Placement:,Title:,Subhead:,Author:,Published Link:,Image:
Top Left,Sophisticated Yet Unfussy Small Plates & Pizza Await You At Sally,A neighborhood restaurant that defies any expectations of what your local pizza joint should be,Karin Hananel,https://www.34st.com/article/2021/09/sally-restaurant-review-philadelphia-34thstreetmagazine-dining-guide-2021,https://snworksceo.imgix.net/dpn-34s/2dee3f3a-5a8f-4341-8839-2f49760b24af.sized-1000x1000.jpg?
Top Right,Marlei’s Sweet Tooth: An Ice-Cream-Lover’s Paradise,This new ice cream shop has creative sweet concoctions for people of all ages.,Jean Paik,https://www.34st.com/article/2021/09/ice-cream-philly-marleis-sweet-tooth-dessert-chocolate,https://snworksceo.imgix.net/dpn-34s/345b0d99-c45a-40f4-bce2-b0681bccda2a.sized-1000x1000.jpg?
Bottom Left ,La Chinesca: A Mexican–Chinese Restaurant that's Somehow Both and Neither,This Spring Arts fusion concept is a manifestation of what happens when we toe the line between cultural appropiation and appreciation.,Beatrice Forman,https://www.34st.com/article/2021/09/lachinesca-philadelphia-mexican-chinese-fusion-cultural-appropiation,https://snworksceo.imgix.net/dpn-34s/7b9b65d3-afad-4fb7-8534-81c519e76922.sized-1000x1000.jpg?
Bottom Right,Quaker Kitchen: A Home–Cooked Meal On Campus,Take a seat and get to know Penn’s newest dining–plan–friendly culinary experience,Meg Gladieux ,https://www.34st.com/article/2021/09/quaker-kitchen-penn-dining-new-college-house-west-bon-appetit,https://snworksceo.imgix.net/dpn-34s/9a1378f3-723e-464d-9834-ef4cac8abc28.sized-1000x1000.jpg?
,,,,,
--- FOOD FOR THOUGHT ---,,,,,
Placement:,Title:,Subhead:,Author:,Published Link:,Image:
Top Left,Four Ethiopian Restaurants Bringing Flavor to West Philly,Explore Ethiopian cuisine with these four restaurants just minutes away from Penn's campus.,Kira Wang,https://www.34st.com/article/2021/09/west-philly-ethiopian-food-restaurants-dining-philadelphia-abyssinia-meskerem-kaffa-crossing-gojjo,https://snworksceo.imgix.net/dpn-34s/9caee0ee-909f-402e-b4c8-25759a1812f2.sized-1000x1000.jpg?
Top Right,Philly’s Best First Date Restaurants,Take the stress out of picking a great first date spot by checking out some of our top picks.,Emily Moon,https://www.34st.com/article/2021/09/philadelphia-restaurants-first-date-romance-barbuzzo-13th-street-loco-pez-taqueria-bleu-sushi-via-locusta-happy-hour-parc,https://snworksceo.imgix.net/dpn-34s/cd4f88eb-6346-4009-bb91-4d27d2b8fdd7.sized-1000x1000.jpeg?
Bottom Left ,These Drinking Spots Are Not What You're Used To ,"We compiled four nontraditional places to grab a cocktail, grab a friend, and have a memorable night in the city.",Mehek Boparai,https://www.34st.com/article/2021/09/drinking-spots-rittenhouse-library-bar-rays-happy-birthday-bar-kickaxe-philly,https://snworksceo.imgix.net/dpn-34s/eb70be26-2083-4026-bf1a-df1f744e7014.sized-1000x1000.jpeg?
Bottom Right,American Vegan Center Opens in Old City,The center works to bring together history and delicious food—without animal cruelty.,Emily White,https://www.34st.com/article/2021/09/american-vegan-center-old-city-history-ben-franklin-restaurant-vegetarian,https://snworksceo.imgix.net/dpn-34s/66acef34-64a3-48ad-9d4c-d40691ced257.sized-1000x1000.jpeg?
