,course_name,course_code,reqs
35,MOD HEB LIT & FILM TRANS: VOICES OF ISRAEL,"CIMS159
JWST154
COML282
NELC159","III: Arts and Letters, Cross Cultural Analysis"
36,NARRATIVE ACROSS CULTURES: FOOD & LITERATURE,THAR105,"III: Arts and Letters, Cross Cultural Analysis"
37,NARRATIVE ACROSS CULTURES: FOOD AND LITERATURE,"COML125
NELC180
ENGL103
SAST124","III: Arts and Letters, Cross Cultural Analysis"
38,NATURAL DISTURBANCES AND DISASTERS,GEOL103,"Quantitative Data Analysis, VII: Natural Sciences and Math"
39,OCEANOGRAPHY:  OCEANS & CLIMATE,GEOL130,"VI: Physical World, Quantitative Data Analysis"
40,"PORTRAITS OF OLD RUSSIA: MYTH, ICON, CHRONICLE","COML131
REES113
HIST045","Cross Cultural Analysis, II: History and Tradition"
41,PRINCIPLES I,PHYS150,"VI: Physical World, Quantitative Data Analysis"
42,PRINCIPLES II,PHYS151,"VI: Physical World, Quantitative Data Analysis"
43,SOCIAL STRATIFICATION,SOCI010,"I: Society, Cultural Diversity in the U.S."
44,SOLARSYSTEM EXOPLANETS,ASTR006,"Quantitative Data Analysis, VII: Natural Sciences and Math"
45,SURVEY OF THE UNIVERSE,ASTR001,"VI: Physical World, Quantitative Data Analysis"
46,TEXTS AND CONTEXTS,SPAN219,"IV: Humanities and Social Science, Cross Cultural Analysis"
47,THE CITY IN SOUTH ASIA,"URBS122
ANTH107
SAST002","I: Society, Cross Cultural Analysis"
48,THE IMMIGRANT CITY,"SOCI270
LALS273
URBS270","I: Society, Cultural Diversity in the U.S."
49,THE MAKING OF THE MODERN WORLD,HIST001,"Cross Cultural Analysis, II: History and Tradition"
50,THE MODERN WORLD AND ITS CULTURAL BACKGROUND,ANTH004,"IV: Humanities and Social Science, Cross Cultural Analysis"
51,WORLD ART: 1400 TO NOW,"ARTH102
VLST232","III: Arts and Letters, Cross Cultural Analysis"
52,WORLD FILM HIST '45-PRES,"ENGL092
COML124
ARTH109
CIMS102","III: Arts and Letters, Cross Cultural Analysis"
53,WORLD FILM HIST TO 1945,"COML123
ENGL091
ARTH108
CIMS101","III: Arts and Letters, Cross Cultural Analysis"
54,WORLD MUSICS & CULTURES,"MUSC050
AFRC050
ANTH022","III: Arts and Letters, Cross Cultural Analysis"
