GREEK & ROMAN MYTHOLOGY,COML108,"III: Arts and Letters, Cross Cultural Analysis"
SURVEY OF THE UNIVERSE,ASTR001,"VI: Physical World, Quantitative Data Analysis"
MOD MIDEAST LIT IN TRANS,NELC201,"III: Arts and Letters, Cross Cultural Analysis"
MOD MIDEAST LIT IN TRANS,COML212,"III: Arts and Letters, Cross Cultural Analysis"
FREN LIT: INDIV/SOCIETY,COML219,"III: Arts and Letters, Cross Cultural Analysis"
INTRO TO SOCIOLOGY,SOCI001,"I: Society, Cultural Diversity in the U.S."
AFR LANG TUTOR:INTERM II: IGBO-AFR LANG INTER II,AFRC493,"Language, Cross Cultural Analysis"
JEWS IN THE MODERN WORLD,NELC053,"II: History and Tradition, Cross Cultural Analysis"
GREAT BOOKS OF JUDAISM: THE POWER OF SPEECH IN THE TALMUD,RELS027,"III: Arts and Letters, Cross Cultural Analysis"
INTRO CLASS CHINESE THGT,EALC131,"II: History and Tradition, Cross Cultural Analysis"
WORLD FILM HIST TO 1945,ENGL091,"III: Arts and Letters, Cross Cultural Analysis"
INTRO TO JAPANESE CIVIL,EALC002,"II: History and Tradition, Cross Cultural Analysis"
WORLD MUSICS & CULTURES,MUSC050,"III: Arts and Letters, Cross Cultural Analysis"
EARTH THROUGH TIME,GEOL125,"VI: Physical World, Quantitative Data Analysis"
FRANCOPHONE LITERATURE AND FILM,FREN233,"III: Arts and Letters, Cross Cultural Analysis"
FREN LIT: INDIV/SOCIETY,FREN232,"III: Arts and Letters, Cross Cultural Analysis"
THE TRANSFORMATION OF URBAN AMERICA,URBS104,"I: Society, Cultural Diversity in the U.S."
LATIN AMER 1808-PRESENT,LALS071,"II: History and Tradition, Cross Cultural Analysis"
CONTEMPOR FICT/FILM-JPAN,COML256,"III: Arts and Letters, Cross Cultural Analysis"
LAND OF THE PHARAOHS,AFRC062,"II: History and Tradition, Cross Cultural Analysis"
"ISRAELI FILM & LIT: HAIFA: LITERATURE, ARCHITECTURE, FILM",NELC159,"III: Arts and Letters, Cross Cultural Analysis"
THE CITY IN SOUTH ASIA,ANTH107,"I: Society, Cross Cultural Analysis"
INTRODUCTION TO FOLKLORE,RELS108,"IV: Humanities and Social Science, Cross Cultural Analysis"
MODERN JAPANESE HISTORY,HIST091,"II: History and Tradition, Cross Cultural Analysis"
PRINCIPLES II,PHYS151,"VI: Physical World, Quantitative Data Analysis"
PRINCIPLES I,PHYS150,"VI: Physical World, Quantitative Data Analysis"
HISTORY OF MODERN CHINA,HIST097,"II: History and Tradition, Cross Cultural Analysis"
HINDU MYTHOLOGY,SAST006,"III: Arts and Letters, Cross Cultural Analysis"
HISTORY OF MODERN CHINA,EALC047,"II: History and Tradition, Cross Cultural Analysis"
"RENAISSANCE-CONTEMPORARY: INTRODUCTION TO WESTERN ART, 1400-PRESENT",VLST232,"III: Arts and Letters, Cross Cultural Analysis"
ANCIENT ROME,HIST027,"II: History and Tradition, Cross Cultural Analysis"
INTRO TO MIDDLE EAST,HIST023,"II: History and Tradition, Cross Cultural Analysis"
DISCOVER THE MIDDLE AGES,HIST145,"II: History and Tradition, Cross Cultural Analysis"
JEWS IN THE MODERN WORLD,HIST141,"II: History and Tradition, Cross Cultural Analysis"
1000 YRS MUSICAL LISTENG,MUSC030,"III: Arts and Letters, Cross Cultural Analysis"
INTRO TO SOCIOLING,LING102,"Quantitative Data Analysis, I: Society"
