MOD MIDEAST LIT IN TRANS,NELC201,"III: Arts and Letters, Cross Cultural Analysis"
FREN LIT: INDIV/SOCIETY,COML219,"III: Arts and Letters, Cross Cultural Analysis"
INTRODUCTION TO SOCIOLOGY,SOCI001,"I: Society, Cultural Diversity in the U.S."
SOCIAL PROB & PUB POLICY,SOCI002,"Cross Cultural Analysis, Cultural Diversity in the U.S."
GREAT BOOKS OF JUDAISM: TALMUD PERSPECTV CONTEXT,RELS027,"III: Arts and Letters, Cross Cultural Analysis"
TONI MORRISON AND THE ADVENTURE OF THE 21ST CENTURY,ENGL101,"III: Arts and Letters, Cultural Diversity in the U.S."
STUDY OF A GENRE: GOTHIC,ENGL102,"III: Arts and Letters, Cross Cultural Analysis"
INTRO TO JAPANESE CIVIL,EALC002,"II: History and Tradition, Cross Cultural Analysis"
WORLD MUSICS & CULTURES,MUSC050,"III: Arts and Letters, Cross Cultural Analysis"
EARTH THROUGH TIME,GEOL125,"VI: Physical World, Quantitative Data Analysis"
FRANCOPHONE LITERATURE AND FILM,FREN233,"III: Arts and Letters, Cross Cultural Analysis"
FREN LIT: INDIV/SOCIETY,FREN232,"III: Arts and Letters, Cross Cultural Analysis"
THE TRANSFORMATION OF URBAN AMERICA,URBS104,"I: Society, Cultural Diversity in the U.S."
LATIN AMER 1782-PRESENT,LALS071,"II: History and Tradition, Cross Cultural Analysis"
CONTEMPOR FICT/FILM-JPAN,COML256,"III: Arts and Letters, Cross Cultural Analysis"
GREAT BOOKS OF JUDAISM: TALMUD PERSPECTV CONTEXT,NELC156,"III: Arts and Letters, Cross Cultural Analysis"
"THE FOUNDERS OF ISRAELI LIT: YEHOSHUA, OZ, AMICHAI",NELC159,"III: Arts and Letters, Cross Cultural Analysis"
INTRODUCTION TO FOLKLORE,RELS108,"IV: Humanities and Social Science, Cross Cultural Analysis"
MODERN JAPANESE HISTORY,HIST091,"II: History and Tradition, Cross Cultural Analysis"
PRINCIPLES II,PHYS151,"VI: Physical World, Quantitative Data Analysis"
PRINCIPLES I,PHYS150,"VI: Physical World, Quantitative Data Analysis"
HISTORY OF MODERN CHINA,"HIST097, EALC047","II: History and Tradition, Cross Cultural Analysis"
"RENAISSANCE-CONTEMPORARY: INTRODUCTION TO WESTERN ART, 1400-PRESENT",VLST232,"III: Arts and Letters, Cross Cultural Analysis"
ANCIENT ROME,HIST027,"II: History and Tradition, Cross Cultural Analysis"
INTRO TO MIDDLE EAST,HIST023,"II: History and Tradition, Cross Cultural Analysis"
1000 YRS MUSICAL LISTENG,MUSC030,"III: Arts and Letters, Cross Cultural Analysis"
INTRO TO SOCIOLING,LING102,"Quantitative Data Analysis, I: Society"
